problem_id,category,difficulty,system,expected_verdict,correct,score,kant_covered,mill_covered,nietzsche_covered,camus_covered,answer
prob_001,mathematical_logical_reasoning,easy,single_agent_baseline,,True,0.922,False,False,False,False,"$66.00 Key checks: 25% discount, $60, 10% tax, $6, $66."
prob_001,mathematical_logical_reasoning,easy,majority_vote_baseline,,True,0.922,False,False,False,False,"$66.00 Key checks: 25% discount, $60, 10% tax, $6, $66."
prob_001,mathematical_logical_reasoning,easy,full_debate,,True,0.922,False,False,False,False,"$66.00 The debate synthesis checks the direct calculation or rule, tests likely mistakes, and keeps only the answer supported by the problem constraints. Key checks: 25% discount, $60, 10% tax, $6, $66."
prob_002,mathematical_logical_reasoning,easy,single_agent_baseline,,True,0.94,False,False,False,False,"x = 6 Key checks: 5x - 12, 5x = 30, x = 6."
prob_002,mathematical_logical_reasoning,easy,majority_vote_baseline,,True,0.94,False,False,False,False,"x = 6 Key checks: 5x - 12, 5x = 30, x = 6."
prob_002,mathematical_logical_reasoning,easy,full_debate,,True,0.94,False,False,False,False,"x = 6 The debate synthesis checks the direct calculation or rule, tests likely mistakes, and keeps only the answer supported by the problem constraints. Key checks: 5x - 12, 5x = 30, x = 6."
prob_003,mathematical_logical_reasoning,medium,single_agent_baseline,,False,0.213,False,False,False,False,"1/5"
prob_003,mathematical_logical_reasoning,medium,majority_vote_baseline,,True,0.95,False,False,False,False,"1/6 Key checks: 6 favorable outcomes, 36 total outcomes, 1/6."
prob_003,mathematical_logical_reasoning,medium,full_debate,,True,0.95,False,False,False,False,"1/6 The debate synthesis checks the direct calculation or rule, tests likely mistakes, and keeps only the answer supported by the problem constraints. Key checks: 6 favorable outcomes, 36 total outcomes, 1/6."
prob_004,mathematical_logical_reasoning,medium,single_agent_baseline,,True,0.95,False,False,False,False,"36 Key checks: n = 5, 2(25), -15, +1, 36."
prob_004,mathematical_logical_reasoning,medium,majority_vote_baseline,,True,0.95,False,False,False,False,"36 Key checks: n = 5, 2(25), -15, +1, 36."
prob_004,mathematical_logical_reasoning,medium,full_debate,,True,0.95,False,False,False,False,"36 The debate synthesis checks the direct calculation or rule, tests likely mistakes, and keeps only the answer supported by the problem constraints. Key checks: n = 5, 2(25), -15, +1, 36."
prob_005,mathematical_logical_reasoning,hard,single_agent_baseline,,False,0.25,False,False,False,False,"width 12, length 13"
