problem_id,category,difficulty,system,correct,score,extracted_answer,answer
prob_001,mathematical_logical_reasoning,easy,single_agent_baseline,True,1.0,"$66","The final price is $66."
prob_001,mathematical_logical_reasoning,easy,majority_vote_baseline,True,1.0,"$66","The final price is $66."
prob_001,mathematical_logical_reasoning,easy,full_debate,True,1.0,"$66","The final price is $66."
prob_002,mathematical_logical_reasoning,easy,single_agent_baseline,True,1.0,"x = 6","The solution is x = 6."
prob_002,mathematical_logical_reasoning,easy,majority_vote_baseline,True,1.0,"x = 6","x = 6."
prob_002,mathematical_logical_reasoning,easy,full_debate,True,1.0,"x = 6","x = 6."
prob_003,mathematical_logical_reasoning,medium,single_agent_baseline,True,1.0,"1/6","The probability that the sum of the two rolls is 7 is 1/6."
prob_003,mathematical_logical_reasoning,medium,majority_vote_baseline,True,1.0,"1/6","The probability that the sum of the two rolls is 7 is 1/6."
prob_003,mathematical_logical_reasoning,medium,full_debate,True,1.0,"1/6","The probability that the sum of the two rolls is 7 is 1/6."
prob_004,mathematical_logical_reasoning,medium,single_agent_baseline,True,1.0,"36","a_5 = 36."
prob_004,mathematical_logical_reasoning,medium,majority_vote_baseline,True,1.0,"36","a_5 = 36."
prob_004,mathematical_logical_reasoning,medium,full_debate,True,1.0,"36","a_5 = 36."
prob_005,mathematical_logical_reasoning,hard,single_agent_baseline,True,1.0,"width 10, length 15","The rectangle's width is 10 and its length is 15."
prob_005,mathematical_logical_reasoning,hard,majority_vote_baseline,True,1.0,"width 10, length 15","The rectangle's width is 10 and its length is 15."
prob_005,mathematical_logical_reasoning,hard,full_debate,True,1.0,"width 10, length 15","The rectangle's width is 10 units and its length is 15 units."
prob_006,physics_scientific_reasoning,easy,single_agent_baseline,True,1.0,"50 km/h","The car's speed is 50 km/h."
prob_006,physics_scientific_reasoning,easy,majority_vote_baseline,True,1.0,"50 km/h","The car's speed is 50 km/h."
prob_006,physics_scientific_reasoning,easy,full_debate,True,1.0,"50 km/h","The car's constant speed is 50 km/h."
prob_007,physics_scientific_reasoning,medium,single_agent_baseline,True,1.0,"25 meters","The object travels 25 meters."
prob_007,physics_scientific_reasoning,medium,majority_vote_baseline,True,1.0,"25 meters","The object travels 25 meters."
prob_007,physics_scientific_reasoning,medium,full_debate,True,1.0,"25 m","The object travels 25 m."
prob_008,physics_scientific_reasoning,medium,single_agent_baseline,True,1.0,"The 2 kg object moving at 6 m/s has greater momentum (12 kg·m/s vs 10 kg·m/s).","The 2 kg object moving at 6 m/s has greater momentum (12 kg·m/s vs 10 kg·m/s)."
prob_008,physics_scientific_reasoning,medium,majority_vote_baseline,True,1.0,"The 2 kg object moving at 6 m/s has greater momentum (12 kg·m/s vs 10 kg·m/s).","The 2 kg object moving at 6 m/s has greater momentum (12 kg·m/s vs 10 kg·m/s)."
prob_008,physics_scientific_reasoning,medium,full_debate,True,1.0,"The 2 kg object moving at 6 m/s has greater momentum (12 kg·m/s vs 10 kg·m/s).","The 2 kg object moving at 6 m/s has greater momentum (12 kg·m/s vs 10 kg·m/s), comparing magnitudes assuming the same direction."
prob_009,physics_scientific_reasoning,medium,single_agent_baseline,True,1.0,"The gas pressure doubles.","The gas pressure doubles when the volume is halved under isothermal conditions."
prob_009,physics_scientific_reasoning,medium,majority_vote_baseline,True,1.0,"The gas pressure doubles.","The gas pressure doubles when the volume is halved under isothermal conditions."
prob_009,physics_scientific_reasoning,medium,full_debate,True,1.0,"Pressure doubles (P_final = 2·P_initial)","Under the ideal, isothermal, sealed conditions the gas pressure doubles (P_final = 2·P_initial); real-gas or mechanical effects could alter this."
prob_010,physics_scientific_reasoning,hard,single_agent_baseline,True,1.0,"1.8 A","The total current drawn from the battery is 1.8 A."
prob_010,physics_scientific_reasoning,hard,majority_vote_baseline,True,1.0,"1.8 A","The total current drawn from the battery is 1.8 A."
prob_010,physics_scientific_reasoning,hard,full_debate,True,1.0,"1.8 A","The total current drawn from the battery is 1.8 A."
